run_id,timestamp,model_name,skill_name,ablation_id,sample_index,code_commit_hash,python_version,mcri_version,model_temperature,repetitions_planned,repetitions_completed,fail_count,pass_rate,avg_exec_time,score_l1_total,score_l1_1_syntax,score_l1_2_runtime,score_l2_total,score_l2_1_contract,score_l2_2_purity,avg_l3_total,avg_l3_1_internal,avg_l3_2_external,avg_l4_total,avg_l4_1_numeric,avg_l4_2_visual,avg_l4_3_artifacts,avg_complexity_math_ops,avg_complexity_inference_steps,avg_complexity_ast_nodes,avg_complexity_loop_depth,score_program_total,score_math_total,score_l5_architecture,avg_l4_4_mqi,avg_mcri_total,source_code_path,notes,batch_id,golden_prompt_path,prompt_hash,prompt_tokens,completion_tokens,total_tokens,latency_ms,healer_applied,healer_fix_count,healer_fixes_basic,healer_fixes_regex,healer_fixes_ast
58ecb12b-dda2-45a4-8cb8-985d574aadaf,2026-02-23T15:12:59.368315+00:00,qwen3-14b,jh_數學2上_FourOperationsOfRadicals,1,0,,3.14.0,6.4,0.7,3,3,0,0.0,0.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,9.0,0.0,14.5,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\qwen3_14b\gen_code\temp_gen_4fe140ef.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); Rep1 失敗: NameError; Rep2 失敗: NameError; Rep3 失敗: NameError; 成功 0/3 次 | Perf: 96.14s | Tokens: In=759, Out=2048 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:1",,,,759,2048,2807,96142,0,0,0,0,0
4d9abd3b-372d-40e1-b3f1-a46a5106d0d8,2026-02-23T15:14:31.891666+00:00,qwen3-14b,jh_數學2上_FourOperationsOfRadicals,1,0,,3.14.0,6.4,0.7,3,3,0,0.0,0.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,9.0,0.0,14.5,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\qwen3_14b\gen_code\temp_gen_2f393c20.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); Rep1 失敗: NameError; Rep2 失敗: NameError; Rep3 失敗: NameError; 成功 0/3 次 | Perf: 89.93s | Tokens: In=759, Out=2048 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:2",,,,759,2048,2807,89932,0,0,0,0,0
7b7a4df9-030f-4fc9-ad9c-01aaa4378227,2026-02-23T15:14:50.411989+00:00,qwen3-14b,jh_數學2上_FourOperationsOfRadicals,1,0,,3.14.0,6.4,0.7,3,3,0,0.0,0.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,10.5,0.0,16.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\qwen3_14b\gen_code\temp_gen_8446771d.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); Rep1 失敗: IndexError; Rep2 失敗: IndexError; Rep3 失敗: IndexError; 成功 0/3 次 | Perf: 16.05s | Tokens: In=759, Out=370 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:3",,,,759,370,1129,16049,0,0,0,0,0
8ca78a50-1ed8-4e59-98c1-fb614208cd71,2026-02-23T15:16:22.706341+00:00,qwen3-14b,jh_數學2上_FourOperationsOfRadicals,1,0,,3.14.0,6.4,0.7,3,3,0,0.0,0.0,13.0,5.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,9.0,0.0,22.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\qwen3_14b\gen_code\temp_gen_03be60b0.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 89.77s | Tokens: In=759, Out=2048 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:4",,,,759,2048,2807,89772,0,0,0,0,0
95028c02-b1fc-4760-bee1-e6c1aa3923d2,2026-02-23T15:16:41.165306+00:00,qwen3-14b,jh_數學2上_FourOperationsOfRadicals,1,0,,3.14.0,6.4,0.7,3,3,0,0.0,0.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,10.5,0.0,16.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\qwen3_14b\gen_code\temp_gen_9e4667b5.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); Rep1 失敗: IndexError; Rep2 失敗: IndexError; Rep3 失敗: IndexError; 成功 0/3 次 | Perf: 15.99s | Tokens: In=759, Out=370 | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PENDING | GenRun:5",,,,759,370,1129,15989,0,0,0,0,0
5156f01d-d0b0-4075-a27f-f05a5adfbe6d,2026-02-23T15:17:09.845119+00:00,qwen3-14b,jh_數學2上_FourOperationsOfRadicals,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,32.67,9.0,4108.0,2.0,47.0,47.0,17.0,5.0,94.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\qwen3_14b\gen_code\temp_gen_7168a084.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 26.14s | Tokens: In=2125, Out=554 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:1",,,,2125,554,2679,26144,1,1,0,0,0
2c347b9b-f7c9-4fb2-ade0-3c7a06b5326c,2026-02-23T15:17:37.238854+00:00,qwen3-14b,jh_數學2上_FourOperationsOfRadicals,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,30.67,6.33,4108.0,2.0,47.0,47.0,17.0,5.0,94.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\qwen3_14b\gen_code\temp_gen_7ff2dfb4.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 24.84s | Tokens: In=2125, Out=554 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:2",,,,2125,554,2679,24837,1,1,0,0,0
293306c6-97c9-4e68-b743-989176e48f3e,2026-02-23T15:18:04.560520+00:00,qwen3-14b,jh_數學2上_FourOperationsOfRadicals,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,31.67,9.0,4108.0,2.0,47.0,47.0,17.0,5.0,94.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\qwen3_14b\gen_code\temp_gen_e367ce31.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 24.80s | Tokens: In=2125, Out=554 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:3",,,,2125,554,2679,24798,1,1,0,0,0
97cd61cc-ee97-46b8-8eb7-fa1a1746ab4d,2026-02-23T15:18:32.370534+00:00,qwen3-14b,jh_數學2上_FourOperationsOfRadicals,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,27.33,6.33,4108.0,2.0,47.0,47.0,17.0,5.0,94.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\qwen3_14b\gen_code\temp_gen_d70680f0.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 25.31s | Tokens: In=2125, Out=554 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:4",,,,2125,554,2679,25309,1,1,0,0,0
e699709d-a83b-425c-8b2a-fbac21717d51,2026-02-23T15:18:59.753626+00:00,qwen3-14b,jh_數學2上_FourOperationsOfRadicals,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,29.67,8.33,4108.0,2.0,47.0,47.0,17.0,5.0,94.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\qwen3_14b\gen_code\temp_gen_8a04b635.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 24.84s | Tokens: In=2125, Out=554 | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | Verify: Internal Logic Check = PASSED | GenRun:5",,,,2125,554,2679,24845,1,1,0,0,0
81f1a38f-d44a-4010-b6c7-8c07d7fefe0b,2026-02-23T15:19:27.133725+00:00,qwen3-14b,jh_數學2上_FourOperationsOfRadicals,3,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,18.0,10.0,8.0,29.0,5.0,4.0,5.0,32.33,8.33,4104.0,2.0,50.0,47.0,20.0,5.0,97.0,E:\Python\MathProject_AST_Research\agent_tools\reports\jh_數學2上_FourOperationsOfRadicals\qwen3_14b\gen_code\temp_gen_0cefe2f2.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 24.82s | Tokens: In=2125, Out=554 | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=2) | Verify: Internal Logic Check = PASSED | GenRun:1",,,,2125,554,2679,24817,1,2,0,0,2
