item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
857f2de9-ab22-41c0-9910-c633c979aae5,dd1fabc9-165c-4d36-abff-cb4bed317e54,1,計算 $(2b^{3} + 5b^{2} + 5b - 2) - (-4b^{2} + 4b - 5)$。,,2b^3+9b^2+b+3,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.0,5,4,5,2.0,40.0,0.0,0.0,True,15,4.0,6,2,4326,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
a0125fbe-fa68-43a1-9198-0849e8236476,dd1fabc9-165c-4d36-abff-cb4bed317e54,2,計算 $(-a^{3} - 3a^{2} - 4a + 4) + (-4a^{2} - 3a - 3)$。,,-a^3-7a^2-7a+1,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.67,5,4,5,2.67,40.67,0.0,0.0,True,15,4.0,8,2,4326,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
55a6d9f2-7d02-46b2-87bd-9503758b77ae,dd1fabc9-165c-4d36-abff-cb4bed317e54,3,計算 $(5b^{2} - b - 3) - (3b^{3} - 5b^{2} + b + 3)$。,,-3b^3+10b^2-2b-6,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.0,5,4,5,2.0,40.0,0.0,0.0,True,15,4.0,6,2,4326,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
aad9c104-88a9-44b1-97de-3eb4dc62131d,4542e879-ce01-4df8-b5f9-0f58de2fd5f4,1,計算 $(-4b^{2} - 4b + 4) - (-b^{2} - b - 2)$。,,-3b^2-3b+6,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.67,5,4,5,2.67,40.67,0.0,0.0,True,15,4.0,8,2,4280,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
f05efbdd-db4d-46f0-9f6f-49beccbb1d3f,4542e879-ce01-4df8-b5f9-0f58de2fd5f4,2,計算 $(5b^{3} - 5b^{2} - b + 1) - (4b^{2} - 1)$。,,5b^3-9b^2-b+2,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.0,5,4,5,2.0,40.0,0.0,0.0,True,15,4.0,6,2,4280,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
9b35a5a1-be79-4fb0-8e91-4a01f0b99b60,4542e879-ce01-4df8-b5f9-0f58de2fd5f4,3,計算 $(2x^{2} - 3x - 5) - (x^{2} - 5x - 3)$。,,x^2+2x-2,PASS,,1,7.5,7.5,20.0,10.0,10.0,20.33,5,4,5,2.33,40.33,0.0,0.0,True,15,4.0,7,2,4280,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
2c4f6e37-be68-42ba-a8fe-9a4d4da5198d,09cbcd16-0cda-45a5-9c7b-afce27ac3bea,1,展開並化簡 $(3a - 2)(-2a^{2} - 5a - 2)$。,,-6a^3-11a^2+4a+4,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.33,5,4,5,3.33,47.33,0.0,0.0,True,15,10.0,10,5,4326,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
bfe7da48-2ffb-4b98-ad3a-63768edd8d3f,09cbcd16-0cda-45a5-9c7b-afce27ac3bea,2,展開並化簡 $(5b - 3)(2b^{2} - 3b - 1)$。,,10b^3-21b^2+4b+3,PASS,,1,7.5,7.5,20.0,10.0,10.0,24.33,5,4,5,2.33,44.33,0.0,0.0,True,15,8.0,7,4,4326,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
6e5f9262-3f6a-45c3-9682-82202fdf49a3,09cbcd16-0cda-45a5-9c7b-afce27ac3bea,3,展開並化簡 $(2x + 4)(-4x^{2} - 4x - 2)$。,,-8x^3-24x^2-20x-8,PASS,,1,7.5,7.5,20.0,10.0,10.0,27.0,5,4,5,3.0,47.0,0.0,0.0,True,15,10.0,9,5,4326,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
c0e1dc56-d93e-4a80-9e66-ec44246fc359,02e5458a-c4fc-4e9f-9cf5-6422894d19f4,1,展開並化簡 $(-2b + 2)(-b^{2} + 5b - 3)$。,,2b^3-12b^2+16b-6,PASS,,1,7.5,7.5,20.0,10.0,10.0,26.67,5,4,5,2.67,46.67,0.0,0.0,True,15,10.0,8,5,4326,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
599a3660-85d0-4ba4-a66a-7b4e48d766b7,02e5458a-c4fc-4e9f-9cf5-6422894d19f4,2,展開並化簡 $(5a + 4)(a^{2} + a + 3)$。,,5a^3+9a^2+19a+12,PASS,,1,7.5,7.5,20.0,10.0,10.0,25.67,5,4,5,1.67,45.67,0.0,0.0,True,15,10.0,5,5,4326,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
