item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
2c74c44c-d6fd-4e92-8187-399f4edbe536,8601a477-696a-4204-b7af-dd91038fc68c,1,$(\sqrt{63} + \sqrt{7}) + \sqrt{5}(\sqrt{35} - 3)$,,-3\sqrt{5} + 9\sqrt{7},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,23,7,533,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
3e922b21-6d87-4ebe-9627-1a90e0ccddba,8601a477-696a-4204-b7af-dd91038fc68c,2,$(\sqrt{90} + \sqrt{160}) + \sqrt{6}(\sqrt{60} - 3)$,,-3\sqrt{6} + 13\sqrt{10},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,24,8,533,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
2d6c96fd-8595-4c8e-96dc-523ba4460d1b,8601a477-696a-4204-b7af-dd91038fc68c,3,$(\sqrt{27} + \sqrt{27}) + \sqrt{10}(\sqrt{30} - 3)$,,16\sqrt{3} - 3\sqrt{10},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,23,7,533,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
8bd5338d-ebd0-4141-ab3b-55f61a33b7ba,7558130a-7d44-4c7e-acfb-99c6ef1fbaaf,1,$3\sqrt{18} + 2\sqrt{90} - 2\sqrt{40}$,,9\sqrt{2} + 2\sqrt{10},PASS,,1,7.5,7.5,13.0,10.0,3.0,29.0,5,4,5,5.0,42.0,0.0,0.0,False,15,10.0,17,5,1175,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
6b731781-aebd-4e0a-882e-9501d3f31d46,7558130a-7d44-4c7e-acfb-99c6ef1fbaaf,2,$\sqrt{20} + \sqrt{20} - 2\sqrt{10}$,,4\sqrt{5} - 2\sqrt{10},PASS,,1,7.5,7.5,13.0,10.0,3.0,29.0,5,4,5,5.0,42.0,0.0,0.0,False,15,10.0,17,5,1175,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
b7f0b0a5-fc73-49e4-9dec-3767de4917e2,7558130a-7d44-4c7e-acfb-99c6ef1fbaaf,3,$3\sqrt{40} + 3\sqrt{20} - 3\sqrt{3}$,,-3\sqrt{3} + 6\sqrt{5} + 6\sqrt{10},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,21,7,1175,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
f7883973-b34c-4c62-ac63-a33e7e29cd04,11b295ee-a12b-48ff-9921-19fcef11e41a,1,Simplify $(\sqrt{12} - \sqrt{75}) + (\sqrt{2} + 1)(\sqrt{2} - 1)$,,1-3\sqrt{3},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,25,8,870,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
34933c34-4a76-4ae8-9b76-05845dbcbb0a,11b295ee-a12b-48ff-9921-19fcef11e41a,2,Simplify $\sqrt{54} + \sqrt{96} - \sqrt{6}$,,6\sqrt{6},PASS,,1,7.5,7.5,13.0,10.0,3.0,22.33,5,4,5,4.33,35.33,0.0,0.0,False,15,4.0,13,2,870,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
55b98e96-5969-4f16-9244-de4ded0fd542,11b295ee-a12b-48ff-9921-19fcef11e41a,3,Simplify $\sqrt{18} + \sqrt{2} - \sqrt{32}$,,0,PASS,,1,7.5,7.5,13.0,10.0,3.0,17.33,5,4,5,3.33,30.33,0.0,0.0,False,15,0.0,10,0,870,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.01
1a8a6763-a086-41cf-960c-d20e91b27b4a,06a2cc61-9185-4a68-b0a4-9c61c9675d24,1,Simplify $(\sqrt{40} + \sqrt{90} - \sqrt{10}) + (\sqrt{3} + \sqrt{2})(\sqrt{7} + 1)$,,\sqrt{2} + \sqrt{3} + 4\sqrt{10} + \sqrt{14} + \sqrt{21},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,32,9,819,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
d8df2b1d-77b8-402e-b1f6-beb5d3a54b35,06a2cc61-9185-4a68-b0a4-9c61c9675d24,2,Simplify $(2\sqrt{3} + 2\sqrt{27} - 3\sqrt{3}) + (\sqrt{11} + \sqrt{2})(\sqrt{3} + 1)$,,\sqrt{2} + 5\sqrt{3} + \sqrt{6} + \sqrt{11} + \sqrt{33},PASS,,1,7.5,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,32,9,819,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
