run_id,timestamp,model_name,skill_name,ablation_id,sample_index,code_commit_hash,python_version,mcri_version,model_temperature,repetitions_planned,repetitions_completed,fail_count,pass_rate,avg_exec_time,score_l1_total,score_l1_1_syntax,score_l1_2_runtime,score_l2_total,score_l2_1_contract,score_l2_2_purity,avg_l3_total,avg_l3_1_internal,avg_l3_2_external,avg_l4_total,avg_l4_1_numeric,avg_l4_2_visual,avg_l4_3_artifacts,avg_complexity_math_ops,avg_complexity_inference_steps,avg_complexity_ast_nodes,avg_complexity_loop_depth,score_program_total,score_math_total,score_l5_architecture,avg_l4_4_mqi,avg_mcri_total,source_code_path,notes,batch_id,golden_prompt_path,prompt_hash,prompt_tokens,completion_tokens,total_tokens,latency_ms,healer_applied,healer_fix_count
e33d30c5-92fe-4772-b1bf-ec79cd5f55a7,2026-02-18T15:14:26.509509+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,14.67,5.0,3.0,3.67,9.0,0.0,736.0,0.0,37.5,34.67,9.5,3.0,72.17,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_607e2ac4.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:1",,,,0,0,0,0,0,0
2f5642d0-264d-4c47-8e62-aaf5cecfe775,2026-02-18T15:18:12.805895+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,15.78,5.0,3.0,5.0,8.33,0.0,362.0,0.0,37.5,35.78,9.5,2.78,73.28,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_7f5fe146.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:2",,,,0,0,0,0,0,0
865ecddf-df4a-4e90-a56e-3aa60817aa03,2026-02-18T15:18:49.201652+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,15.78,5.0,3.0,5.0,8.33,0.0,679.0,0.0,37.5,35.78,9.5,2.78,73.28,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_2bd68bd1.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:3",,,,0,0,0,0,0,0
f2a3d35d-0376-4163-a78f-97936eddd45c,2026-02-18T15:19:32.605125+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,15.0,5.0,3.0,5.0,6.0,0.0,362.0,0.0,37.5,35.0,9.5,2.0,72.5,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_9274b2b2.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:4",,,,0,0,0,0,0,0
1d6f3a01-595d-4cc9-8dfe-df36ce4bb694,2026-02-18T15:26:34.682710+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,15.22,5.0,3.0,5.0,6.67,0.0,685.0,0.0,37.5,35.22,9.5,2.22,72.72,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_d6eea427.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Bare] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:5",,,,0,0,0,0,0,0
601c7466-d7fd-4285-bbe9-115b569bfe12,2026-02-18T15:26:43.436986+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.56,5.0,3.0,5.0,13.67,5.0,3520.0,1.0,47.0,47.56,17.0,4.56,94.56,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_f71e767b.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:1",,,,0,0,0,0,1,1
4e3e81ae-70be-4bef-9eba-ee50f9758a11,2026-02-18T15:26:51.744768+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.67,5.0,3.0,5.0,14.33,5.0,3520.0,1.0,47.0,47.67,17.0,4.67,94.67,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_de1b372d.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:2",,,,0,0,0,0,1,1
91b8ce4c-c1b1-40a1-9b6a-c47eb6dedaa1,2026-02-18T15:26:59.765629+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.89,5.0,3.0,5.0,15.0,5.0,3530.0,1.0,47.0,47.89,17.0,4.89,94.89,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_6f0ea786.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:3",,,,0,0,0,0,1,1
05b0ca71-def2-4c79-a87d-130f5094621b,2026-02-18T15:27:07.909688+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.44,5.0,3.0,5.0,13.67,5.0,3520.0,1.0,47.0,47.44,17.0,4.44,94.44,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_18a21631.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:4",,,,0,0,0,0,1,1
d622710f-520a-47b3-af2e-c56960a93e1a,2026-02-18T15:27:15.691168+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,2,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.89,5.0,3.0,5.0,14.67,5.0,3520.0,1.0,47.0,47.89,17.0,4.89,94.89,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_c5009b26.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Minimal Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=0) | GenRun:5",,,,0,0,0,0,1,1
583ff0aa-5d8b-4f49-bc56-2165deabd8a3,2026-02-18T15:27:23.807074+00:00,unknown,jh_數學1上_FourArithmeticOperationsOfIntegers,3,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,15.0,7.5,7.5,20.0,10.0,10.0,27.67,5.0,3.0,5.0,14.0,5.0,3526.0,1.0,50.0,47.67,20.0,4.67,97.67,E:\Python\MathProject_AST_Research\agent_tools\temp_code\temp_gen_81e2769c.py,"L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | Perf: 0.00s | Fix: [Full Healer] | Fixes: Basic=0, Advanced=(Regex=0, AST=2) | GenRun:1",,,,0,0,0,0,1,2
