item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
05ecadbc-8aa7-4529-8486-e697b221daf8,2dafde94-4730-422b-aced-623d31e920ce,1,計算 $(3y^{3} - 3y^{2} + 4y) - (-y^{3} - 5y^{2} + y - 5)$。,,4y^3+2y^2+3y+5,PASS,,1,7.5,7.5,13.0,10.0,3.0,15.67,5,4,5,1.67,28.67,0.0,0.0,False,15,0.0,5,0,4285,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
0d2ec63f-091c-4dcd-8ddf-6410c4bfc97f,2dafde94-4730-422b-aced-623d31e920ce,2,計算 $(4x^{2} + 2x - 4) - (-5x^{2} + 5x + 2)$。,,9x^2-3x-6,PASS,,1,7.5,7.5,13.0,10.0,3.0,19.67,5,4,5,1.67,32.67,0.0,0.0,False,15,4.0,5,2,4285,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
26c6704b-8984-459f-908e-10fa032d3fd6,2dafde94-4730-422b-aced-623d31e920ce,3,計算 $(-5y^{2} + y - 1) + (5y^{2} + 4y + 1)$。,,5y,PASS,,1,7.5,7.5,13.0,10.0,3.0,14.67,5,4,5,0.67,27.67,0.0,0.0,False,15,0.0,2,0,4285,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
7fec9a8d-b238-4e52-87b4-7ca459968ba9,21e3f662-7d39-4690-899e-c3f804eb4f54,1,計算 $(4b^{3} + 5b^{2} + b + 1) - (-2b^{3} + 4b^{2} + 5b)$。,,6b^3+b^2-4b+1,PASS,,1,7.5,7.5,13.0,10.0,3.0,19.33,5,4,5,1.33,32.33,0.0,0.0,False,15,4.0,4,2,4327,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
e16d6bfa-2b5b-4efd-9897-5685198acda4,21e3f662-7d39-4690-899e-c3f804eb4f54,2,計算 $(-5b^{2} - 5b - 1) - (4b^{3} + 5b^{2} - 4b + 5)$。,,-4b^3-10b^2-b-6,PASS,,1,7.5,7.5,13.0,10.0,3.0,20.67,5,4,5,2.67,33.67,0.0,0.0,False,15,4.0,8,2,4327,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
14a2f1ce-9ae9-443a-9067-7dd12ae5dd96,21e3f662-7d39-4690-899e-c3f804eb4f54,3,計算 $(-y^{3} + 5y^{2} - y + 2) + (-3y^{2} + 5)$。,,-y^3+2y^2-y+7,PASS,,1,7.5,7.5,13.0,10.0,3.0,15.0,5,4,5,1.0,28.0,0.0,0.0,False,15,0.0,3,0,4327,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
3d2b5de1-02ae-4138-a3a4-0c7e9cd3913f,ae2326a1-2082-4773-8588-ff4388b2599e,1,展開 $(-4b + 4)(2b^{2} + 3b - 1)$。,,-8b^3-4b^2+16b-4,PASS,,1,7.5,7.5,13.0,10.0,3.0,26.33,5,4,5,2.33,39.33,0.0,0.0,False,15,10.0,7,5,4375,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
eaf34bec-6edd-4ba9-bb0e-94b5fb0e7852,ae2326a1-2082-4773-8588-ff4388b2599e,2,展開 $(-4b + 2)(-b^{2} - 5b - 3)$。,,4b^3+18b^2+2b-6,PASS,,1,7.5,7.5,13.0,10.0,3.0,27.33,5,4,5,3.33,40.33,0.0,0.0,False,15,10.0,10,5,4375,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
58b27e98-b340-47ad-a8a3-c53647e88f97,ae2326a1-2082-4773-8588-ff4388b2599e,3,展開 $(-5a + 5)(2a^{2} + 2)$。,,-10a^3+10a^2-10a+10,PASS,,1,7.5,7.5,13.0,10.0,3.0,26.0,5,4,5,2.0,39.0,0.0,0.0,False,15,10.0,6,5,4375,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
6b14b281-9cf2-41f1-a33d-ccfc2adb1262,a6040e68-90d5-4a1d-ac4e-22b8370956eb,1,展開 $(-4x - 4)(-4x^{2} - 4x - 3)$。,,16x^3+32x^2+28x+12,PASS,,1,7.5,7.5,13.0,10.0,3.0,28.0,5,4,5,4.0,41.0,0.0,0.0,False,15,10.0,12,5,4375,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
2cdf23a3-ce49-4a5b-8851-de60d481d51b,a6040e68-90d5-4a1d-ac4e-22b8370956eb,2,展開 $(4b - 1)(-2b^{2} + 5b - 4)$。,,-8b^3+22b^2-21b+4,PASS,,1,7.5,7.5,13.0,10.0,3.0,24.33,5,4,5,2.33,37.33,0.0,0.0,False,15,8.0,7,4,4375,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
cdd8074a-4ee6-4ca4-80f8-19b7549bee2f,a6040e68-90d5-4a1d-ac4e-22b8370956eb,3,展開 $(2x + 3)(4x^{2} + 5x + 4)$。,,8x^3+22x^2+23x+12,PASS,,1,7.5,7.5,13.0,10.0,3.0,25.67,5,4,5,1.67,38.67,0.0,0.0,False,15,10.0,5,5,4375,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
db7fe1bd-05c7-4852-b8d9-90ecda2726ee,21eff563-15c8-4e6b-9200-df6020f7d70c,1,"若 $X + (-3b + 5) = -b^{2} + 2b - 2$,求多項式 $X$。",,-b^2+5b-7,PASS,,1,7.5,7.5,13.0,10.0,3.0,19.67,5,4,5,1.67,32.67,0.0,0.0,False,15,4.0,5,2,4285,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
