item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
32912bec-589f-4d7f-87f4-0401ba61ddc5,916bde33-65d3-4642-bae1-3d9896549858,1,計算 $(-2a^{3} + 5a^{2} + 5a - 5) - (-5a^{3} - 3a^{2} + 3a + 2)$。,,3a^3+8a^2+2a-7,PASS,,1,7.5,7.5,13.0,10.0,3.0,20.33,5,4,5,2.33,33.33,0.0,0.0,False,15,4.0,7,2,4377,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
4714ae0b-1964-4801-9b11-165ce86c71b0,916bde33-65d3-4642-bae1-3d9896549858,2,計算 $(5b^{3} - 3b^{2} - 3b + 4) + (-2b^{3} + 4b^{2} + 5b - 3)$。,,3b^3+b^2+2b+1,PASS,,1,7.5,7.5,13.0,10.0,3.0,20.0,5,4,5,2.0,33.0,0.0,0.0,False,15,4.0,6,2,4377,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
85ac3ba4-acff-4d2c-a30a-3fec07b3501e,916bde33-65d3-4642-bae1-3d9896549858,3,計算 $(2x^{3} - 3x^{2} + x - 5) - (-2x^{3} - 3x^{2} + x + 1)$。,,4x^3-6,PASS,,1,7.5,7.5,13.0,10.0,3.0,20.33,5,4,5,2.33,33.33,0.0,0.0,False,15,4.0,7,2,4377,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
23b8b5af-6c18-4573-a9b0-1fe6d457df21,dc6d42d3-948f-47b8-98a5-206de590ff5e,1,計算 $(-5b^{3} - b^{2} + 4b + 4) + (-b^{3} - b^{2} - 2b + 4)$。,,-6b^3-2b^2+2b+8,PASS,,1,7.5,7.5,13.0,10.0,3.0,20.33,5,4,5,2.33,33.33,0.0,0.0,False,15,4.0,7,2,4377,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
026dc955-8ab2-4d11-a7a3-302329d4e30d,dc6d42d3-948f-47b8-98a5-206de590ff5e,2,計算 $(-3x^{3} - 3x^{2} + x + 3) + (-3x^{3} + 2x^{2} + 2x)$。,,-6x^3-x^2+3x+3,PASS,,1,7.5,7.5,13.0,10.0,3.0,19.67,5,4,5,1.67,32.67,0.0,0.0,False,15,4.0,5,2,4377,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
7302113f-17eb-48d7-a108-131522677270,dc6d42d3-948f-47b8-98a5-206de590ff5e,3,計算 $(-b^{3} - 5b^{2} - 4b + 4) - (3b^{3} - 4b - 1)$。,,-4b^3-5b^2+5,PASS,,1,7.5,7.5,13.0,10.0,3.0,20.67,5,4,5,2.67,33.67,0.0,0.0,False,15,4.0,8,2,4377,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
09af4dd2-8c28-4173-ac90-fa09e2044f8f,4bb12fc8-8a63-408b-afcc-c9a5fc3d9cd5,1,展開 $(-a)(-a^{2} + 3a + 3)$。,,a^3-3a^2-3a,PASS,,1,7.5,7.5,13.0,10.0,3.0,19.67,5,4,5,1.67,32.67,0.0,0.0,False,15,4.0,5,2,4377,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
1d97986d-363d-4cf7-98a5-de1e8786c3e6,4bb12fc8-8a63-408b-afcc-c9a5fc3d9cd5,2,展開 $(-b + 5)(3b^{2} + 5b + 1)$。,,-3b^3+10b^2+24b+5,PASS,,1,7.5,7.5,13.0,10.0,3.0,25.67,5,4,5,1.67,38.67,0.0,0.0,False,15,10.0,5,5,4377,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
e7a99cf7-53d5-43d9-9a2b-d3694d29d658,4bb12fc8-8a63-408b-afcc-c9a5fc3d9cd5,3,展開 $(5x + 4)(-3x^{2} - x + 1)$。,,-15x^3-17x^2+x+4,PASS,,1,7.5,7.5,13.0,10.0,3.0,26.33,5,4,5,2.33,39.33,0.0,0.0,False,15,10.0,7,5,4377,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
f80af0a0-7232-4d78-9f8f-4f8a3ef864df,ff2a4b77-4205-468d-8aba-9bbe126444e8,1,展開 $(4b - 2)(2b^{2} - 3b + 4)$。,,8b^3-16b^2+22b-8,PASS,,1,7.5,7.5,13.0,10.0,3.0,24.0,5,4,5,2.0,37.0,0.0,0.0,False,15,8.0,6,4,4377,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
ab656a1f-3824-41a6-972e-90c9ed2bad8b,ff2a4b77-4205-468d-8aba-9bbe126444e8,2,展開 $(4x + 2)(2x^{2} + 5x + 1)$。,,8x^3+24x^2+14x+2,PASS,,1,7.5,7.5,13.0,10.0,3.0,25.67,5,4,5,1.67,38.67,0.0,0.0,False,15,10.0,5,5,4377,2,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
