run_id,timestamp,model_name,skill_name,ablation_id,sample_index,code_commit_hash,python_version,mcri_version,model_temperature,repetitions_planned,repetitions_completed,fail_count,pass_rate,avg_exec_time,score_l1_total,score_l1_1_syntax,score_l1_2_runtime,score_l2_total,score_l2_1_contract,score_l2_2_purity,avg_l3_total,avg_l3_1_internal,avg_l3_2_external,avg_l4_total,avg_l4_1_numeric,avg_l4_2_visual,avg_l4_3_artifacts,avg_complexity_math_ops,avg_complexity_inference_steps,avg_complexity_ast_nodes,avg_complexity_loop_depth,score_program_total,score_math_total,score_l5_architecture,avg_l4_4_mqi,avg_mcri_total,source_code_path,notes,batch_id,golden_prompt_path,prompt_hash,prompt_tokens,completion_tokens,total_tokens,latency_ms,healer_applied,healer_fix_count
560eabda-7c51-47a1-8ead-f67c147f63f6,2026-02-17T14:58:52.317847+00:00,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,1,0,,3.14.0,6.4,0.7,3,3,3,0.0,0.0,13.0,5.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,10.5,0.0,23.5,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_28500079.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | GenRun:1,,,,0,0,0,0,0,0
618cda75-23a4-4cad-8cd2-0e12ec5dea70,2026-02-17T14:59:42.404595+00:00,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,1,1,,3.14.0,6.4,0.7,3,3,0,0.0,0.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,10.5,0.0,16.0,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_26abbd3a.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); Rep1 失敗: ValueError; Rep2 失敗: ValueError; Rep3 失敗: ValueError; 成功 0/3 次 | GenRun:1,,,,0,0,0,0,0,0
29069987-a2f7-4c25-be10-b02113ba174c,2026-02-17T15:01:10.726369+00:00,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,2,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,13.5,6.0,7.5,0.0,0.0,0.0,12.0,5.0,4.0,3.0,0.0,0.0,3464.0,1.0,45.5,12.0,17.0,0.0,57.5,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_3a62fc4a.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | GenRun:1,,,,0,0,0,0,1,1
6a68e435-4c39-4ba8-833d-dfc58da85710,2026-02-17T23:02:51.967755,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,3,3,,,,0,3,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_16683944.py,Load Failed (SyntaxError or Import Error),,,,0,0,0,0,1,6
da2f81e7-cd31-4acc-a77e-b66f9e2b5699,2026-02-17T23:04:33.623533,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,2,4,,,,0,3,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_d274d7d7.py,Load Failed (SyntaxError or Import Error),,,,0,0,0,0,1,2
d7c673ba-37d4-415b-97d1-92636e11ec7d,2026-02-17T23:06:15.068605,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,2,5,,,,0,3,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_d87d0b33.py,Load Failed (SyntaxError or Import Error),,,,0,0,0,0,1,1
1cd8615e-3f6f-4198-ac36-8e4f45f1d731,2026-02-17T23:07:56.270787,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,2,6,,,,0,3,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_95633516.py,Load Failed (SyntaxError or Import Error),,,,0,0,0,0,1,1
55a07cf3-e527-4f5d-a43c-415c370c7880,2026-02-17T23:09:37.781811,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,3,7,,,,0,3,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_9d1657f0.py,Load Failed (SyntaxError or Import Error),,,,0,0,0,0,1,10
9d61d311-eb07-49ca-97db-7dc0d551e5c4,2026-02-17T23:11:19.268745,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,3,8,,,,0,3,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_4859c80d.py,Load Failed (SyntaxError or Import Error),,,,0,0,0,0,1,1
8de62e82-d0f4-45b5-89a6-dee98b43f019,2026-02-17T15:12:41.314342+00:00,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,3,9,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,13.5,6.0,7.5,0.0,0.0,0.0,11.67,4.67,4.0,3.0,0.0,0.0,3575.0,1.0,45.5,11.67,17.0,0.0,57.17,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_52892d57.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | GenRun:1,,,,0,0,0,0,1,11
