run_id,timestamp,model_name,skill_name,ablation_id,sample_index,code_commit_hash,python_version,mcri_version,model_temperature,repetitions_planned,repetitions_completed,fail_count,pass_rate,avg_exec_time,score_l1_total,score_l1_1_syntax,score_l1_2_runtime,score_l2_total,score_l2_1_contract,score_l2_2_purity,avg_l3_total,avg_l3_1_internal,avg_l3_2_external,avg_l4_total,avg_l4_1_numeric,avg_l4_2_visual,avg_l4_3_artifacts,avg_complexity_math_ops,avg_complexity_inference_steps,avg_complexity_ast_nodes,avg_complexity_loop_depth,score_program_total,score_math_total,score_l5_architecture,avg_l4_4_mqi,avg_mcri_total,source_code_path,notes,batch_id,golden_prompt_path,prompt_hash,prompt_tokens,completion_tokens,total_tokens,latency_ms,healer_applied,healer_fix_count
b8b1baab-909a-4da7-bf31-2d462f346730,2026-02-17T22:10:43.691862,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,1,0,,,,0,3,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_b45fdde0.py,Load Failed (SyntaxError or Import Error),,,,0,0,0,0,0,0
f7519d1e-6648-456f-826a-18da04ef7572,2026-02-17T14:11:36.009769+00:00,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,1,0,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,13.5,6.0,7.5,13.0,10.0,3.0,12.0,5.0,3.67,3.33,0.0,0.0,486.0,0.0,36.0,25.0,9.5,0.0,61.0,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_ffa986b0.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | GenRun:2,,,,0,0,0,0,0,0
55213562-3267-4af7-a9d6-a3e75ef0fd1a,2026-02-17T14:12:11.124785+00:00,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,1,0,,3.14.0,6.4,0.7,3,3,0,0.0,0.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,10.5,0.0,16.0,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_cc951ebb.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); Rep1 失敗: ValueError; Rep2 失敗: ValueError; Rep3 失敗: ValueError; 成功 0/3 次 | GenRun:3,,,,0,0,0,0,0,0
732eb5ab-602e-4ef4-8c82-c0b5bb522c7a,2026-02-17T22:13:50.581244,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,1,1,,,,0,3,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_7731ab69.py,Load Failed (SyntaxError or Import Error),,,,0,0,0,0,0,0
b538331e-98da-46c1-acd3-0bb88440c23b,2026-02-17T22:15:29.759864,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,1,1,,,,0,3,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_8b9c101d.py,Load Failed (SyntaxError or Import Error),,,,0,0,0,0,0,0
ecc7d215-b1e6-4154-972c-623fee72a9e6,2026-02-17T14:16:09.666779+00:00,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,1,1,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,13.0,5.5,7.5,13.5,6.0,7.5,13.0,10.0,3.0,14.0,5.0,4.0,5.0,0.0,0.0,463.0,0.0,36.0,27.0,9.5,0.0,63.0,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_96a8f2bb.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 缺少 Docstring/TypeHint (-2.0); 全部成功 (平均 0.00s) | GenRun:3,,,,0,0,0,0,0,0
e9d47c98-fb28-41bc-8a59-2fa5a157cf61,2026-02-17T14:17:07.383062+00:00,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,2,2,,3.14.0,6.4,0.7,3,3,0,0.0,0.0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,17.0,0.0,23.5,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_861cc9c9.py,L1: AST 解析成功; 無危險函數(或已豁免); 未授權 import: collections; Rep1 失敗: AttributeError; Rep2 失敗: AttributeError; Rep3 失敗: AttributeError; 成功 0/3 次 | GenRun:1,,,,0,0,0,0,1,1
e375feec-6dbf-4757-a701-92d754113899,2026-02-17T14:18:05.103890+00:00,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,2,2,,3.14.0,6.4,0.7,3,3,0,1.0,0.0,15.0,7.5,7.5,13.5,6.0,7.5,6.33,3.33,3.0,13.0,4.0,4.0,5.0,0.0,0.0,4267.0,1.0,45.5,19.33,17.0,0.0,64.83,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_bee1845c.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; 全部成功 (平均 0.00s) | GenRun:2,,,,0,0,0,0,1,1
aada3b44-5324-49a9-b00e-493af113c727,2026-02-17T14:19:01.307335+00:00,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,2,2,,3.14.0,6.4,0.7,3,3,0,0.0,0.0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,17.0,0.0,24.5,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_745e8654.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; Rep1 失敗: SyntaxError; Rep2 失敗: SyntaxError; Rep3 失敗: SyntaxError; 成功 0/3 次 | GenRun:3,,,,0,0,0,0,1,1
3c53cd00-db68-4198-a562-eeeab769e6d8,2026-02-17T14:19:47.723597+00:00,qwen3-14b-nothink,jh_數學2上_FourOperationsOfRadicals,3,3,,3.14.0,6.4,0.7,3,3,0,0.0,0.0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,17.0,0.0,24.5,E:\Python\MathProject_AST_Research\temp_benchmark\temp_gen_91ac33cf.py,L1: AST 解析成功; 無危險函數(或已豁免); Import 白名單通過; Rep1 失敗: ValueError; Rep2 失敗: ValueError; Rep3 失敗: ValueError; 成功 0/3 次 | GenRun:1,,,,0,0,0,0,1,3
