item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
a2552079-b0f9-40cb-b8ea-c17c09c54b8c,fc9bedf2-f55b-46dd-9e7a-13786e5df544,1,化簡 $$(4\sqrt{6}+4\sqrt{12}+3\sqrt{2}-3\sqrt{27}) + 5(\sqrt{24} + \sqrt{50})$$,,28\sqrt{2}-\sqrt{3}+14\sqrt{6},PASS,,1,6.0,7.5,18.0,10.0,8.0,27.75,5,4,5,5.0,45.75,0.0,0.0,False,15,8.75,29,7,3609,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
4d78eac6-b06b-4342-8d1b-7dffc51b343b,fc9bedf2-f55b-46dd-9e7a-13786e5df544,2,化簡 $$(5\sqrt{3}+4\sqrt{50}+4\sqrt{8}+2\sqrt{2}) + 2(\sqrt{50} + \sqrt{12})$$,,40\sqrt{2}+9\sqrt{3},PASS,,1,6.0,7.5,18.0,10.0,8.0,25.25,5,4,5,5.0,43.25,0.0,0.0,False,15,6.25,25,5,3609,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
e87d1384-8a04-4425-91fa-90a9c8c7aa5e,fc9bedf2-f55b-46dd-9e7a-13786e5df544,3,化簡 $$(\sqrt{12}-3\sqrt{6}-2\sqrt{18}-5\sqrt{24}) + 3(\sqrt{32} + \sqrt{27})$$,,6\sqrt{2}+11\sqrt{3}-13\sqrt{6},PASS,,1,6.0,7.5,18.0,10.0,8.0,27.75,5,4,5,5.0,45.75,0.0,0.0,False,15,8.75,32,7,3609,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
126da88f-a9df-463b-a9de-3431799d9581,07380899-d920-4921-b6c7-6b9d5e1f5170,1,化簡 $$(5\sqrt{24}-5\sqrt{18}+4\sqrt{32}) + 2(\sqrt{5} + \sqrt{7})$$,,\sqrt{2}+2\sqrt{5}+10\sqrt{6}+2\sqrt{7},PASS,,1,6.0,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,30,8,3603,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
e33c231b-65e4-4491-8b1f-be11f262bd4d,07380899-d920-4921-b6c7-6b9d5e1f5170,2,化簡 $$(-3\sqrt{27}-2\sqrt{18}-2\sqrt{32}) + 2(\sqrt{7} + \sqrt{5})$$,,-14\sqrt{2}-9\sqrt{3}+2\sqrt{5}+2\sqrt{7},PASS,,1,6.0,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,33,9,3603,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
6a3cd730-b423-4e42-861e-caf2119a3bdc,07380899-d920-4921-b6c7-6b9d5e1f5170,3,化簡 $$(-\sqrt{27}+3\sqrt{6}+5\sqrt{27}) + 2(\sqrt{2} + \sqrt{5})$$,,2\sqrt{2}+12\sqrt{3}+2\sqrt{5}+3\sqrt{6},PASS,,1,6.0,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,31,9,3603,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.11
1b074ae7-96fe-45dc-9a90-2a9d334b2e3b,46fc68cc-d94b-4670-a050-b3c8da96dd39,1,化簡 $$(5\sqrt{6}+5\sqrt{27}-3\sqrt{24}-\sqrt{2}) + 3(\sqrt{7} + \sqrt{5})$$,,-\sqrt{2}+15\sqrt{3}+3\sqrt{5}-\sqrt{6}+3\sqrt{7},PASS,,1,6.0,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,37,11,3603,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
841acdc8-195c-44a8-b19f-698aa1129934,46fc68cc-d94b-4670-a050-b3c8da96dd39,2,化簡 $$(-2\sqrt{2}+2\sqrt{8}+2\sqrt{24}) + 5(\sqrt{5} + \sqrt{2})$$,,7\sqrt{2}+5\sqrt{5}+4\sqrt{6},PASS,,1,6.0,7.5,18.0,10.0,8.0,27.75,5,4,5,5.0,45.75,0.0,0.0,False,15,8.75,27,7,3603,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
ba657af4-ff26-4cbc-8b77-35486f77023e,46fc68cc-d94b-4670-a050-b3c8da96dd39,3,化簡 $$(\sqrt{24}+3\sqrt{12}-3\sqrt{6}) + 5(\sqrt{7} + \sqrt{5})$$,,6\sqrt{3}+5\sqrt{5}-\sqrt{6}+5\sqrt{7},PASS,,1,6.0,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,30,9,3603,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
44c1ddef-b0a0-4573-aa69-a9b852d2c3cd,4b03df9b-ef94-41c3-8bef-4c133c441c12,1,化簡 $$(\sqrt{6}+2\sqrt{18}+\sqrt{18}) + 3(\sqrt{5} + \sqrt{5})$$,,9\sqrt{2}+6\sqrt{5}+\sqrt{6},PASS,,1,6.0,7.5,18.0,10.0,8.0,26.5,5,4,5,5.0,44.5,0.0,0.0,False,15,7.5,25,6,3603,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
700cd680-9c43-414f-b03b-05963a82c923,4b03df9b-ef94-41c3-8bef-4c133c441c12,2,化簡 $$(-2\sqrt{20}+5\sqrt{5}-2\sqrt{12}) + 2(\sqrt{5} + \sqrt{3})$$,,-2\sqrt{3}+3\sqrt{5},PASS,,1,6.0,7.5,18.0,10.0,8.0,25.05,5,4,5,4.8,43.05,0.0,0.0,False,15,6.25,24,5,3603,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
28bf2d6a-4f00-4916-a8c9-9deadbfec0ac,4b03df9b-ef94-41c3-8bef-4c133c441c12,3,化簡 $$(-4\sqrt{20}-\sqrt{24}+2\sqrt{3}+3\sqrt{8}) + 4(\sqrt{3} + \sqrt{2})$$,,10\sqrt{2}+6\sqrt{3}-8\sqrt{5}-2\sqrt{6},PASS,,1,6.0,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,35,9,3603,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
34db7bfb-83a2-47b4-bb8a-6071a9e2237a,4d81dd76-3286-444d-a4ca-e1d07ffd050f,1,化簡 $$(2\sqrt{20}-\sqrt{8}-\sqrt{6}-5\sqrt{20}) + 5(\sqrt{7} + \sqrt{5})$$,,-2\sqrt{2}-\sqrt{5}-\sqrt{6}+5\sqrt{7},PASS,,1,6.0,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,34,9,3603,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
cc10bd84-079c-40c7-9fff-3e83234e7ff9,4d81dd76-3286-444d-a4ca-e1d07ffd050f,2,化簡 $$(\sqrt{50}-\sqrt{32}-2\sqrt{20}) + 5(\sqrt{3} + \sqrt{5})$$,,\sqrt{2}+5\sqrt{3}+\sqrt{5},PASS,,1,6.0,7.5,18.0,10.0,8.0,25.25,5,4,5,5.0,43.25,0.0,0.0,False,15,6.25,26,5,3603,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
0670ae83-52da-4452-b9e4-8c50acefd451,4d81dd76-3286-444d-a4ca-e1d07ffd050f,3,化簡 $$(-5\sqrt{12}+5\sqrt{5}-2\sqrt{12}) + 2(\sqrt{7} + \sqrt{7})$$,,-14\sqrt{3}+5\sqrt{5}+4\sqrt{7},PASS,,1,6.0,7.5,18.0,10.0,8.0,27.75,5,4,5,5.0,45.75,0.0,0.0,False,15,8.75,28,7,3603,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
bae3f2e4-af22-4b39-901a-63736dec9966,529b729f-317d-4957-b9df-3c28c1e4883b,1,化簡 $$(-5\sqrt{20}+4\sqrt{6}-3\sqrt{3}-2\sqrt{2}) + 5(\sqrt{2} + \sqrt{3})$$,,3\sqrt{2}+2\sqrt{3}-10\sqrt{5}+4\sqrt{6},PASS,,1,6.0,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,36,9,3603,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
fd0c936e-b81d-48b4-b09f-3f2bf3a7878c,529b729f-317d-4957-b9df-3c28c1e4883b,2,化簡 $$(-5\sqrt{8}-5\sqrt{24}-\sqrt{3}) + 5(\sqrt{2} + \sqrt{5})$$,,-5\sqrt{2}-\sqrt{3}+5\sqrt{5}-10\sqrt{6},PASS,,1,6.0,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,32,9,3603,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
5412ab8b-5247-43cd-9d91-7a0247dfdf50,529b729f-317d-4957-b9df-3c28c1e4883b,3,化簡 $$(-2\sqrt{20}+5\sqrt{32}+5\sqrt{27}+\sqrt{3}) + 2(\sqrt{2} + \sqrt{5})$$,,22\sqrt{2}+16\sqrt{3}-2\sqrt{5},PASS,,1,6.0,7.5,18.0,10.0,8.0,27.75,5,4,5,5.0,45.75,0.0,0.0,False,15,8.75,30,7,3603,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
ffc521d5-1094-4ca1-bb40-d8b2875ef02b,06bc64f7-ddde-439c-bd0e-999e174c81e4,1,化簡 $$(4\sqrt{24}-4\sqrt{5}+4\sqrt{50}-\sqrt{6}) + 4(\sqrt{3} + \sqrt{3})$$,,20\sqrt{2}+8\sqrt{3}-4\sqrt{5}+7\sqrt{6},PASS,,1,6.0,7.5,18.0,10.0,8.0,29.0,5,4,5,5.0,47.0,0.0,0.0,False,15,10.0,35,9,3603,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
